Account_ID,Industry,Sub_Industry,Region,Country,State,City,Postal_Code,Customer_Since,Status,Account_Name,Account_Manager,Employee_Count,Customer_Lifecycle_Stage,Account_Score
ACC-000027,Finance,Banking,Middle East,Saudi Arabia,,North Robert,44715,2022-02-04 23:06:47,Active,Ford Motor Company,Christopher Johnson,29253,Trusted Customer,66
ACC-000028,Energy,Renewable Energy,North America,Canada,Ontario,Jenniferborough,87598,2025-03-28 06:31:35,Inactive,"Dominion Energy, Inc.",Dr. Rick Castro,5029,New Contact,16
ACC-000029,Technology,Telecommunications,Latin America,Brazil,,North Jameschester,07875,2025-03-21 21:02:49,Inactive,"HubSpot, Inc.",Alejandro Cantu,1465,Brand Ambassador,54
ACC-000030,Education,K-12,Africa,South Africa,,Jenniferberg,16241,2024-12-22 02:48:09,Pending,Citigroup Inc.,Sabrina Phillips,44381,Active Customer,10
ACC-000031,Energy,Renewable Energy,Africa,Kenya,,South Cory,77512,2022-08-31 23:46:01,Inactive,"ServiceNow, Inc.",Dennis Schwartz,1747,Trusted Customer,84
ACC-000032,Retail,E-commerce,Africa,Nigeria,,East Annette,20993,2023-11-10 04:51:00,Churned,Dover Corporation,Francisco Floyd,41755,Potential Customer,59
ACC-000033,Technology,Telecommunications,North America,United States,Illinois,Santa Clara,95054,2023-01-03 01:06:43,Active,Sigmasoft Infotech Pvt.Ltd,Achutha Raju Kalvakolanu,40128,Trusted Customer,97
ACC-000034,Finance,Investment,Asia Pacific,India,Delhi,Claudiastad,30107,2024-05-28 10:50:22,Active,"DuPont de Nemours, Inc.",John Simmons,27253,Brand Ambassador,33
ACC-000035,Energy,Oil & Gas,Africa,Egypt,,Lake Pamelamouth,39864,2021-09-07 14:33:51,Active,Cognizant Technology Solutions Corporation,Robert Hammond,16100,New Contact,96
ACC-000036,Technology,Software,Middle East,UAE,,Christineton,63364,2025-01-31 20:06:07,Inactive,CMS Energy Corporation,David Liu,42078,Potential Customer,17
ACC-000037,Government,Federal,Middle East,UAE,,South Nicholebury,75022,2021-06-30 21:14:42,Churned,FirstEnergy Corp.,Lori Cantu,24339,Potential Customer,70
ACC-000038,Technology,Hardware,North America,United States,Florida,Port Beverlyborough,12233,2023-07-26 00:39:40,Churned,Snowflake Inc.,Zachary Waters,42173,Disengaged Customer,16
ACC-000039,Government,Public Services,Middle East,Qatar,,Barbaraview,91098,2023-09-15 13:56:38,Churned,Wipro Limited,Jose Allen,14378,Active Customer,52
ACC-000040,Energy,Oil & Gas,Africa,Kenya,,Hallland,89327,2023-02-14 10:58:53,Inactive,Infosys Limited,Sharon Bennett,10309,Active Customer,40
ACC-000041,Retail,E-commerce,Asia Pacific,Singapore,,South Jimmyburgh,12913,2023-10-26 14:13:10,Churned,DTE Energy Company,Amanda Wilson,45371,New Contact,59
ACC-000042,Government,Public Services,Asia Pacific,Japan,,Dawnland,80940,2023-09-12 22:27:57,Pending,Atlassian Corporation,Patricia Kelly,22014,Active Customer,82
ACC-000043,Retail,E-commerce,North America,United States,Illinois,Johnsonland,60100,2023-07-28 23:41:22,Pending,Edison International,Diamond Randall,32804,Disengaged Customer,24
ACC-000044,Healthcare,Health Insurance,North America,Mexico,,South Danastad,93667,2024-09-13 21:54:54,Active,Edwards Lifesciences Corporation,Emily Diaz,6133,Active Customer,61
ACC-000045,Manufacturing,Textiles,Latin America,Chile,,Crawfordshire,07491,2023-03-04 23:52:10,Pending,"Amazon.com, Inc.",Jessica Johnson,23135,Brand Ambassador,24
ACC-000046,Technology,Hardware,Middle East,Israel,,New Krystal,70374,2024-10-23 17:27:48,Pending,EQT Corporation,Angelica Burch,35574,Trusted Customer,97
ACC-000047,Finance,Investment,Asia Pacific,Japan,,New Normaland,33263,2023-01-13 07:03:43,Active,Oracle Corporation,Megan Murray,33366,Potential Customer,50
ACC-000048,Retail,Fashion,Europe,France,,Beverlyport,51518,2024-02-20 21:20:03,Inactive,"Fiserv, Inc.",Bruce Freeman,20491,Trusted Customer,3
ACC-000049,Energy,Utilities,Middle East,Israel,,Rileymouth,88217,2023-02-03 06:58:25,Active,Slack Technologies Inc,Ashley Hess,17529,Trusted Customer,28
ACC-000050,Education,K-12,Asia Pacific,Singapore,,Aliciabury,87908,2023-11-24 09:42:10,Inactive,"D.R. Horton, Inc.",Jordan Taylor,47804,Potential Customer,69
ACC-000051,Healthcare,Medical Devices,Middle East,UAE,,Joanview,83259,2022-07-17 19:36:59,Churned,International Business Machines Corporation,Tiffany Lawrence,34544,Brand Ambassador,37
ACC-000052,Energy,Mining,North America,Canada,British Columbia,Jesseport,18077,2021-09-26 02:20:55,Pending,"Vmware, Inc",Alyssa Francis,38102,Disengaged Customer,14
ACC-000053,Retail,E-commerce,Latin America,Colombia,,Lake Samanthachester,46255,2025-03-30 05:12:41,Pending,Intuit Inc.,Nathan Cummings,11767,New Contact,2
ACC-000054,Energy,Utilities,Middle East,Israel,,Andrewfurt,87230,2021-12-23 07:23:32,Active,SAP SE,Linda Willis,49192,Trusted Customer,4
ACC-000055,Government,Defense,North America,Canada,Quebec,South Williamside,84202,2025-04-01 10:12:25,Inactive,The Clorox Company,Monica Williams,20387,Potential Customer,92
ACC-000056,Retail,Department Stores,North America,Canada,Quebec,East Emilyside,44657,2022-06-01 21:06:48,Active,"Enphase Energy, Inc.",James Martinez,12637,Disengaged Customer,45
ACC-000057,Government,Local,Latin America,Argentina,,Nathanmouth,87623,2023-08-27 02:29:47,Pending,"EPAM Systems, Inc.",Karen Cunningham,29389,New Contact,7
ACC-000058,Manufacturing,Aerospace,North America,Canada,Quebec,East Robin,04147,2022-03-24 17:37:13,Churned,Duke Energy Corporation,Joseph Lee,6433,New Contact,5
ACC-000059,Technology,IT Services,Africa,Morocco,,Smithfort,56867,2023-10-08 19:55:16,Pending,Adobe Inc.,Mark Thomas,43198,New Contact,4
ACC-000060,Manufacturing,Aerospace,Europe,France,,Charlesfurt,71598,2021-11-13 09:52:13,Active,Microsoft Corporation,Carl Williams,5806,Trusted Customer,6
ACC-000061,Education,Higher Education,Asia Pacific,Australia,,Mooreshire,82101,2024-05-31 13:26:37,Pending,Colgate-Palmolive Company,Nicholas Morrow,47310,Brand Ambassador,29
ACC-000062,Finance,Wealth Management,Europe,United Kingdom,Wales,Port Robertaville,93991,2024-03-11 08:53:42,Active,"Workday, Inc.",Laura Austin,40989,New Contact,11
